l,lgramSize,criteria_id,text_id,h0,h1,fp,fn,threshold,j
100,1,c12sy,affine_bi,484,9516,0.881,0.0484,0,0
100,1,c13sy,affine_bi,541,9459,0.4005,0.0541,0,0
100,1,c30sy,affine_bi,5790,4210,0.181,0.579,0.35,0
100,1,c51sy,affine_bi,8516,1484,0,0.8516,4,10
100,2,c10bi,affine_bi,742,9258,0.016,0.0742,0,0
100,2,c11bi,affine_bi,9844,156,0,0.9844,17,0
100,2,c12bi,affine_bi,742,9258,0.016,0.0742,0,0
100,2,c13bi,affine_bi,742,9258,0.016,0.0742,0,0
100,2,c30bi,affine_bi,0,10000,1,0,0.55,0
100,2,c51bi,affine_bi,10000,0,0,1,25,20
1000,1,c10sy,affine_bi,485,9515,1,0.0485,0,0
1000,1,c11sy,affine_bi,10000,0,0,1,120,0
1000,1,c12sy,affine_bi,488,9512,0.9158,0.0488,0,0
1000,1,c13sy,affine_bi,502,9498,0.5303,0.0502,0,0
1000,1,c30sy,affine_bi,3224,6776,0.0027,0.3224,0.15,0
1000,1,c51sy,affine_bi,9207,793,0,0.9207,8,20
1000,2,c10bi,affine_bi,638,9362,0.1671,0.0638,0,0
1000,2,c11bi,affine_bi,10000,0,0,1,119,0
1000,2,c12bi,affine_bi,638,9362,0.1671,0.0638,0,0
1000,2,c13bi,affine_bi,638,9362,0.1671,0.0638,0,0
1000,2,c30bi,affine_bi,5215,4785,0.9879,0.5215,0.22,0
1000,2,c51bi,affine_bi,2,9998,0.0241,0.0002,30,200
10000,1,c11sy,affine_bi,370,0,0,1,800,0
10000,1,c12sy,affine_bi,16,354,0.8648648648648649,0.043243243243243246,0,0
10000,1,c10sy,affine_bi,16,354,1,0.043243243243243246,0,0
10000,1,c13sy,affine_bi,16,354,0.27837837837837837,0.043243243243243246,0,0
10000,1,c30sy,affine_bi,44,326,0.010810810810810811,0.11891891891891893,0.07,0
10000,1,c51sy,affine_bi,342,28,0,0.9243243243243243,12,30
10000,2,c10bi,affine_bi,18,352,0.6702702702702703,0.04864864864864865,0,0
10000,2,c11bi,affine_bi,370,0,0,1,799,0
10000,2,c12bi,affine_bi,18,352,0.6702702702702703,0.04864864864864865,0,0
10000,2,c13bi,affine_bi,18,352,0.35945945945945945,0.04864864864864865,0,0
10000,2,c30bi,affine_bi,33,337,0.22972972972972974,0.0891891891891892,0.1,0
10000,2,c51bi,affine_bi,94,276,0,0.25405405405405407,60,500
10,1,c10sy,random,1811,8189,0.1893,0.1811,0,0
10,1,c11sy,random,8829,1171,0.0009,0.8829,3,0
10,1,c12sy,random,1811,8189,0.1893,0.1811,0,0
10,1,c13sy,random,1811,8189,0.1893,0.1811,0,0
10,1,c30sy,random,0,10000,1,0,0.5,0
10,1,c51sy,random,10000,0,0,1,6,3
10,2,c10bi,random,3590,6410,0.0015,0.359,0,0
10,2,c11bi,random,7399,2601,0,0.7399,2,0
10,2,c12bi,random,3590,6410,0.0015,0.359,0,0
10,2,c13bi,random,3590,6410,0.0015,0.359,0,0
10,2,c30bi,random,10000,0,0.0005,1,3,0
10,2,c51bi,random,10000,0,0,1,10,5
100,1,c10sy,random,0,10000,0.881,0,0,0
100,1,c11sy,random,10000,0,0,1,18,0
100,1,c12sy,random,0,10000,0.881,0,0,0
100,1,c13sy,random,0,10000,0.4005,0,0,0
100,1,c30sy,random,10000,0,0.181,1,0.35,0
100,1,c51sy,random,9996,4,0,0.9996,4,10
100,2,c10bi,random,1,9999,0.016,0.0001,0,0
100,2,c11bi,random,9786,214,0,0.9786,17,0
100,2,c12bi,random,1,9999,0.016,0.0001,0,0
100,2,c13bi,random,1,9999,0.016,0.0001,0,0
100,2,c30bi,random,0,10000,1,0,0.55,0
100,2,c51bi,random,10000,0,0,1,25,20
1000,1,c10sy,random,0,10000,1,0,0,0
1000,1,c11sy,random,10000,0,0,1,120,0
1000,1,c12sy,random,0,10000,0.9158,0,0,0
1000,1,c13sy,random,0,10000,0.5303,0,0,0
1000,1,c30sy,random,0,10000,0.0027,0,0.15,0
1000,1,c51sy,random,10000,0,0,1,8,20
1000,2,c10bi,random,0,10000,0.1671,0,0,0
1000,2,c11bi,random,10000,0,0,1,119,0
1000,2,c12bi,random,0,10000,0.1671,0,0,0
1000,2,c13bi,random,0,10000,0.1671,0,0,0
1000,2,c30bi,random,0,10000,0.9879,0,0.22,0
1000,2,c51bi,random,0,10000,0.0241,0,30,200
10000,1,c10sy,random,0,370,1,0,0,0
10000,1,c11sy,random,370,0,0,1,800,0
10000,1,c12sy,random,0,370,0.8648648648648649,0,0,0
10000,1,c13sy,random,0,370,0.27837837837837837,0,0,0
10000,1,c30sy,random,0,370,0.010810810810810811,0,0.07,0
10000,1,c51sy,random,370,0,0,1,12,30
10000,2,c10bi,random,0,370,0.6702702702702703,0,0,0
10000,2,c11bi,random,370,0,0,1,799,0
10000,2,c12bi,random,0,370,0.6702702702702703,0,0,0
10000,2,c13bi,random,0,370,0.35945945945945945,0,0,0
10000,2,c30bi,random,0,370,0.22972972972972974,0,0.1,0
10000,2,c51bi,random,370,0,0,1,60,500
